Cell,profile,xoff,Icell,Imax,Iback,rhc,rhb
1,0,-0.785,103.478,150.959,10.451,0.442,2.710
1,1,1.712,102.132,142.757,12.977,4.961,0.741
1,2,-0.466,108.457,243.169,19.273,1.021,1.197
1,3,0.343,109.399,208.672,17.508,2.976,1.471
1,4,0.526,107.948,242.135,20.455,2.240,1.519
1,5,-1.728,116.194,281.956,30.292,0.309,2.268
1,6,-1.350,132.109,244.526,26.944,0.962,1.872
1,7,-5.998,119.203,227.322,15.711,0.001,4.963
1,8,-3.253,110.700,201.342,19.400,1.490,3.321
1,9,-1.026,119.076,250.619,20.169,1.210,1.707
1,10,-1.920,118.964,232.745,22.076,0.078,2.923
1,11,-0.802,116.385,217.129,18.708,1.640,1.311
1,12,-0.862,129.487,196.368,15.441,1.013,1.601
1,13,-9.416,272.133,198.979,-13.272,74.288,10.149
1,14,-0.290,114.892,235.314,18.142,1.112,1.069
1,15,-0.701,103.069,230.276,20.010,1.401,1.697
1,16,-1.138,124.284,306.590,44.641,1.485,1.000
1,17,-1.683,117.894,261.299,15.072,1.193,2.176
1,18,-2.438,106.285,264.208,17.024,1.896,1.410
1,19,-2.292,111.755,260.825,24.320,1.203,2.636
1,20,-1.717,121.768,245.410,25.974,1.181,1.808
1,21,-1.333,114.275,206.904,25.513,1.376,1.399
1,22,-1.155,118.016,201.206,12.801,1.241,1.597
1,23,-2.858,99.782,149.357,15.284,1.973,2.427
1,24,-1.644,107.656,242.731,21.055,0.813,2.162
1,25,-0.996,95.662,322.351,34.174,2.005,1.115
1,26,-3.000,113.714,237.712,14.874,4.490E-4,2.527
1,27,-1.612,158.585,191.702,26.632,0.317,1.209
1,28,-10.996,184.910,211.595,14.189,2.784E-4,10.438
1,29,-3.666,109.264,262.420,19.409,0.220,3.327
1,30,-1.802,134.638,351.116,26.324,1.044,1.336
1,31,-1.559,103.314,288.917,28.163,0.902,1.869
1,32,-1.299,112.637,242.136,25.844,1.252,2.105
1,33,-1.040,114.828,282.964,22.422,1.082,1.680
1,34,-3.444,128.670,261.214,25.968,1.038,2.072
1,35,-1.400,133.286,312.093,16.732,0.951,1.945
1,36,-2.334,148.314,288.710,14.785,0.648,2.214
1,37,-2.629,132.293,222.398,19.943,0.993,3.828
1,38,-2.479,130.493,259.524,33.549,0.463,2.792
1,39,-0.229,109.468,278.424,21.629,1.279,1.594
1,40,-0.444,119.629,242.324,19.883,0.780,1.837
1,41,-0.410,107.451,188.390,12.239,1.191,2.736
1,42,0.393,102.066,180.054,17.632,0.981,1.384
1,43,0.739,98.043,198.591,13.551,2.595,1.056
1,44,-0.192,110.087,247.879,32.272,0.997,1.537
1,45,0.829,107.880,212.970,27.592,2.719,1.390
1,46,0.010,112.330,213.802,22.713,1.711,1.788
1,47,-0.221,118.505,262.275,16.645,1.112,1.701
1,48,0.032,112.969,278.259,23.628,1.284,1.234
1,49,-0.530,102.481,241.875,23.790,0.975,2.270
1,50,1.649,102.074,220.840,21.807,1.856,1.120
1,51,-0.019,109.115,193.412,15.405,0.860,1.357
1,52,-1.487,106.724,154.739,13.086,0.643,2.509
2,0,-2.817,162.177,536.123,17.438,0.708,2.765
2,1,-0.262,186.101,350.825,46.794,1.861,1.133
2,2,-0.655,181.832,505.829,20.841,1.294,1.008
2,3,-0.521,162.271,470.938,13.418,1.298,1.241
2,4,-2.535,173.125,381.256,17.834,0.526,2.743
2,5,-2.648,182.424,362.220,44.292,2.002,1.859
2,6,-3.021,176.110,401.291,29.943,1.161,2.049
2,7,-3.239,167.528,404.611,30.694,1.229,2.145
2,8,-2.492,176.179,419.854,19.726,0.373,2.819
2,9,-1.935,172.115,446.246,16.709,0.789,2.092
2,10,-2.195,157.156,491.709,25.479,0.809,1.632
2,11,-1.288,171.872,385.372,21.432,1.386,1.062
2,12,-1.609,179.689,366.258,14.930,1.001,1.556
2,13,-2.300,183.464,411.048,18.667,1.115,1.649
2,14,-1.931,179.430,337.581,17.575,1.292,1.731
2,15,-1.614,175.300,326.022,15.349,1.295,1.765
2,16,-3.592,196.302,343.350,20.204,1.081,2.091
2,17,-2.687,187.277,338.581,39.653,0.923,2.053
2,18,-1.961,174.912,266.887,34.902,1.134,2.032
2,19,-1.761,177.354,385.177,38.052,0.900,1.489
2,20,-1.347,180.454,371.581,35.046,1.171,1.211
2,21,-3.192,182.259,356.099,38.977,1.195,1.587
2,22,-6.000,169.905,261.841,31.534,6.837E-5,5.113
2,23,-3.816,185.339,253.662,19.800,0.967,2.932
2,24,-3.658,190.143,298.274,21.928,0.886,3.209
2,25,-2.183,165.196,347.868,33.764,1.852,0.908
2,26,-3.271,175.121,316.488,22.636,1.925,1.869
2,27,-1.111,192.151,413.658,38.615,1.487,1.668
2,28,-2.694,235.306,347.462,15.276,0.323,2.631
2,29,-2.719,220.249,402.314,27.618,0.936,1.803
2,30,-3.218,192.986,491.926,41.958,0.636,2.820
2,31,-2.562,179.034,387.086,25.215,1.087,2.009
2,32,-0.943,171.530,313.119,20.232,1.679,1.518
2,33,-1.968,209.091,314.186,27.771,0.031,3.589
2,34,-1.000,180.455,500.895,27.896,0.953,1.602
2,35,-1.101,188.570,361.466,29.228,2.203,1.412
2,36,-1.258,159.142,317.960,32.851,1.038,1.708
2,37,-0.566,167.255,354.517,16.889,1.062,1.625
2,38,-0.614,162.758,426.749,24.129,1.356,1.581
2,39,-0.959,183.711,352.260,14.980,0.773,2.116
2,40,-0.360,188.210,375.105,19.868,0.855,1.674
2,41,-1.691,174.692,321.523,35.330,1.154,2.437
2,42,-2.589,180.603,365.759,21.696,0.344,3.246
2,43,-1.174,189.934,374.480,37.094,1.114,1.689
2,44,-1.843,191.540,399.358,20.938,0.780,1.836
2,45,-1.755,180.526,359.625,13.631,0.280,2.782
2,46,-0.701,171.085,430.578,33.610,0.715,1.821
2,47,-3.426,166.788,471.364,14.938,0.336,3.309
3,0,-2.988,167.091,314.220,24.018,0.019,2.884
3,1,-2.481,168.872,303.147,14.544,0.740,2.967
3,2,-2.213,165.221,320.071,21.755,0.805,2.659
3,3,-1.938,165.867,360.869,17.239,1.110,1.778
3,4,-1.127,176.770,354.397,26.508,1.060,1.681
3,5,-2.118,176.532,298.490,12.702,0.749,2.613
3,6,-6.996,195.679,391.918,44.284,0.003,3.959
3,7,-4.834,213.823,335.926,26.688,0.103,3.393
3,8,-1.544,203.702,369.535,36.985,0.740,1.848
3,9,-1.998,185.117,268.894,13.664,9.308E-4,3.099
3,10,-0.459,181.364,284.178,34.905,1.360,1.326
3,11,-4.000,169.144,289.548,9.691,2.335E-4,3.334
3,12,-3.676,162.857,336.343,32.653,0.365,2.177
3,13,-2.999,164.719,374.603,16.609,0.001,2.422
3,14,-2.266,167.323,308.297,24.945,0.583,1.530
3,15,-0.636,173.152,298.645,16.951,1.212,1.286
3,16,-0.849,165.027,315.488,17.536,0.940,1.413
3,17,-1.375,164.669,259.179,16.958,1.744,1.173
3,18,-2.074,163.537,286.734,11.486,0.766,1.769
3,19,-1.136,166.458,268.281,15.449,1.690,1.474
3,20,-1.410,170.959,249.817,22.770,1.303,1.713
3,21,-0.618,156.701,267.990,35.861,2.314,1.004
3,22,-2.754,166.728,226.798,12.052,1.486,3.367
3,23,-1.318,175.849,286.643,61.920,0.965,0.930
3,24,-1.682,166.481,284.372,27.378,1.473,2.161
3,25,-1.864,174.310,378.103,12.945,0.564,2.165
3,26,-0.451,164.102,272.416,17.178,1.840,1.336
3,27,-1.175,187.791,385.700,15.294,1.348,1.161
3,28,-0.833,183.811,372.165,10.097,0.798,1.808
3,29,0.153,171.641,293.622,19.174,1.585,1.128
3,30,-0.371,177.322,292.615,37.504,1.729,1.105
3,31,-1.727,191.751,335.550,17.092,0.253,2.034
3,32,-3.649,177.029,304.635,37.298,0.332,2.557
3,33,-2.360,178.968,340.134,23.769,0.466,3.015
3,34,-0.363,184.990,346.295,12.756,1.116,1.358
3,35,-1.710,168.335,255.079,15.976,1.769,2.416
3,36,0.018,175.080,309.125,23.092,0.809,1.498
3,37,0.795,170.813,228.613,19.898,2.022,1.098
3,38,-0.995,160.014,298.628,16.325,1.804,1.754
3,39,-0.541,180.442,245.687,13.668,0.919,1.798
3,40,0.897,168.836,224.902,33.016,2.134,0.997
3,41,-0.940,176.795,264.325,13.746,1.041,2.227
3,42,0.212,162.823,250.047,29.979,1.096,1.307
3,43,-1.175,161.980,256.224,30.579,1.805,1.750
3,44,-0.553,172.650,285.850,20.712,1.102,1.602
3,45,0.397,168.183,247.036,16.196,1.105,1.524
3,46,-1.617,140.616,197.728,26.032,4.178,2.360
3,47,0.572,150.490,292.046,18.690,2.329,0.866
3,48,-1.107,173.077,214.627,12.886,1.017,2.224
3,49,1.716,163.475,233.150,25.765,3.301,0.150
3,50,-3.996,170.499,253.701,18.175,0.009,3.544
